Index of pulse,IPR,Tsys/Tdia,Tpw25/Tpi,Tpw50/Tpi,Tpw75/Tpi,Tpw25/Tsp,Tpw50/Tsp,Tpw75/Tsp,Tdw10/Tsw10,Tdw25/Tsw25,Tdw33/Tsw33,Tdw50/Tsw50,Tdw66/Tsw66,Tdw75/Tsw75,Tdw90/Tsw90,Tsp/Tpi,Asp/Aoff,Adp/Asp,IPA,Tsp/Asp,Asp/deltaT,Asp/(Tpi-Tsp)
3,100.00000000000003,1.7999999999999994,0.4324324324324324,0.2837837837837836,0.18918918918918895,1.684210526315788,1.1052631578947354,0.7368421052631564,3.2142857142857104,1.6666666666666643,1.545454545454543,1.3333333333333302,1.2857142857142818,1.3333333333333288,1.2499999999999931,0.25675675675675697,-2.984576054871423,0.03127451306609515,-0.6157676625421584,0.09698148786979437,6.530455937978972,3.562066875261256
4,99.99999999999999,2.0000000000000018,0.37333333333333335,0.2666666666666666,0.17333333333333353,1.4000000000000006,1.0,0.6500000000000009,3.2142857142857166,1.3333333333333364,1.272727272727276,1.222222222222226,1.1428571428571428,1.1666666666666667,1.0,0.2666666666666666,-3.338298147321305,0.05538808190602,-6.91685231963299,0.10709594262181524,5.492601117437891,3.395426145325243
5,101.35135135135134,1.653846153846153,0.4054054054054057,0.283783783783784,0.1756756756756758,1.5,1.05,0.65,3.142857142857139,1.5,1.3636363636363635,1.3333333333333333,1.2857142857142858,1.1666666666666667,1.0,0.27027027027027045,-2.545557024394709,-0.02546109292230289,0.0914167380923226,0.11235204962963787,6.357567277502436,3.296516366112373
6,101.35135135135134,1.7916666666666654,0.5199999999999997,0.2800000000000002,0.18666666666666681,1.9499999999999973,1.05,0.7,3.1333333333333298,2.2499999999999956,1.4545454545454495,1.3333333333333333,1.2857142857142858,1.3333333333333333,1.0,0.2666666666666669,-3.008052909709405,0.05580735515902006,-2.5214851966466165,0.10130746443235877,6.368349005056233,3.5894330755771473
7,99.99999999999999,1.9545454545454533,0.3972602739726023,0.2876712328767118,0.1780821917808213,1.5263157894736812,1.1052631578947338,0.6842105263157866,3.142857142857139,1.416666666666662,1.3636363636363587,1.3333333333333273,1.2857142857142778,1.1666666666666574,0.9999999999999861,0.26027397260273993,-2.969250265693467,0.02800933537668009,-4.169384151781333,0.10253849729451335,5.790508108331439,3.4314122123445547
8,100.00000000000006,2.000000000000004,0.3766233766233772,0.2727272727272731,0.16883116883116908,1.380952380952381,1.0,0.6190476190476191,3.1333333333333258,1.4166666666666667,1.3636363636363635,1.3333333333333333,1.2857142857142858,1.1666666666666667,1.0,0.2727272727272731,-3.4234061181127684,0.048949781068869165,4.198633180722236,0.1117094410452705,5.529049765571984,3.356923071954421
9,101.35135135135141,2.047619047619041,0.3972602739726027,0.273972602739726,0.1780821917808219,1.5263157894736843,1.0526315789473684,0.6842105263157895,3.2142857142857144,1.6363636363636365,1.5,1.5,1.2857142857142858,1.6,1.6666666666666667,0.2602739726027397,-2.79571909529031,-0.005244565854639646,-0.46184176756082485,0.12058854696818344,4.774562678074949,2.9177883032680194
10,101.35135135135125,1.8695652173913075,0.418918918918918,0.2837837837837827,0.18918918918918798,1.5500000000000032,1.0500000000000003,0.6999999999999983,3.285714285714312,1.583333333333348,1.4545454545454692,1.3333333333333497,1.285714285714306,1.333333333333358,1.6666666666667282,0.2702702702702692,-2.960935302995712,0.0352822001768728,-2.1347799198814768,0.12312239772288422,5.239999401040437,3.008147804300998
11,98.68421052631585,2.000000000000004,0.4000000000000006,0.2800000000000004,0.18666666666666695,1.5,1.05,0.7,3.2857142857142856,1.5,1.4545454545454546,1.3333333333333333,1.2857142857142858,1.3333333333333333,1.6666666666666667,0.26666666666666705,-2.7966675692800735,-0.016792330497535604,0.0914880174561313,0.12055166240328949,5.027393185447017,3.016435911268212
12,99.99999999999991,1.9565217391304288,0.40789473684210525,0.27631578947368424,0.17105263157894737,1.4761904761904763,1.0,0.6190476190476191,3.0,1.5833333333333333,1.4545454545454546,1.3333333333333333,1.125,1.1666666666666667,1.0,0.27631578947368424,-2.7826292684386145,0.004206973191753523,-0.24758208210158708,0.12340816912395605,5.317719277893488,3.093945761683479
13,101.35135135135141,1.9545454545454581,0.40540540540540604,0.2837837837837842,0.17567567567567594,1.5,1.05,0.65,3.2142857142857064,1.5,1.3636363636363635,1.3333333333333333,1.2857142857142858,1.1666666666666667,1.0,0.2702702702702707,-2.900136110040097,-0.012758052140209128,0.1440413631079748,0.10515634503509341,5.943531032686826,3.5220924638144173
14,101.35135135135141,1.9545454545454581,0.4189189189189195,0.2837837837837827,0.17567567567567594,1.55,1.0499999999999945,0.65,3.0,1.5833333333333333,1.4545454545454444,1.333333333333321,1.2857142857142858,1.1666666666666667,1.0,0.2702702702702707,-2.6578195638901576,-0.020958490832015075,0.2749266094434208,0.10472777342538196,5.9678534123072,3.5365057258116757
15,100.00000000000006,1.7999999999999954,0.4189189189189204,0.2837837837837823,0.1891891891891892,1.5500000000000056,1.0499999999999945,0.7,3.142857142857143,1.5833333333333426,1.4545454545454692,1.3333333333333497,1.285714285714322,1.3333333333333333,1.2500000000000278,0.2702702702702703,-2.9603737624519306,0.03552070549784111,-8.10515204122099,0.0966689184511933,7.1341976662539235,3.8313283763215464
16,98.6842105263157,2.0454545454545494,0.3896103896103902,0.27272727272727165,0.18181818181818207,1.4285714285714362,1.0,0.6666666666666702,3.0666666666666895,1.5,1.4545454545454692,1.3333333333333497,1.285714285714322,1.3333333333333333,1.6666666666667653,0.27272727272727165,-3.108156044086397,0.031629871207757614,2.0298907767007255,0.10394201878906434,5.9422268878282285,3.6077806104671453
17,100.00000000000006,1.909090909090913,0.6000000000000024,0.2799999999999989,0.17333333333333506,2.2500000000000053,1.0499999999999945,0.6500000000000056,3.2857142857142856,2.7500000000000093,1.3636363636363875,1.3333333333333497,1.285714285714322,1.1666666666666852,1.3333333333333828,0.26666666666666705,-2.9026802493597974,0.005972154323249293,-0.22781914205125847,0.10398746495202038,5.828208297415868,3.4969249784495227
18,101.35135135135125,2.047619047619041,0.40540540540540543,0.2837837837837823,0.17567567567567718,1.5,1.0499999999999945,0.6500000000000056,3.2142857142857224,1.5,1.3636363636363875,1.3333333333333497,1.285714285714322,1.1666666666666852,1.0,0.2702702702702703,-2.759242857600129,-0.018214002616870527,0.22769134146559897,0.1027630157865829,5.897652977791806,3.604121264206098
