Index of pulse,Tu/Tpi,Tv/Tpi,Tw/Tpi,Ta/Tpi,Tb/Tpi,Tc/Tpi,Td/Tpi,Te/Tpi,Tf/Tpi,(Tu-Ta)/Tpi,(Tv-Tb)/Tpi,Au/Asp,Av/Au,Aw/Au,Ab/Aa,Ac/Aa,Ad/Aa,Ae/Aa,Af/Aa,Ap2/Ap1,(Ac-Ab)/Aa,(Ad-Ab)/Aa,AGI,AGImod,AGIinf,AI,RIp1,RIp2,SC,IPAD
129,0.1621621621621625,0.3918918918918927,0.6216216216216229,0.08108108108108125,0.22972972972973024,0.33783783783783855,0.33783783783783855,0.48648648648648746,0.7432432432432449,0.08000000000000076,0.16000000000000153,0.1343866005820492,-0.6778067912905953,0.056825966386876155,-1.2123806930664074,-0.6393115222337565,-0.6393115222337565,0.6069824873565748,-0.16466108666651152,0.8872284043547286,0.5730691708326507,0.5730691708326507,-0.540740135955469,0.0662423514011058,-1.8193631804229822,-0.10725274707738884,-0.022683533634061864,-0.022683533634061864,-0.02331341181729502,0.027421497814890117
130,0.14473684210526216,0.3815789473684185,0.6052631578947327,0.05263157894736807,0.2236842105263143,0.32894736842105043,0.32894736842105043,0.47368421052631254,0.7105263157894689,0.09333333333333421,0.16000000000000153,0.13447981604710135,-0.6576135377447676,0.04898142605335158,-1.2425252371182025,-0.5540263753419488,-0.5540263753419488,0.5918075868330951,-0.15619405034109154,0.8398384645952944,0.6884988617762539,0.6884988617762539,-0.7262800732674002,-0.13447248643430504,-1.8343328239512977,-0.15480470576980018,0.07993745829759875,0.07993745829759875,-0.023076092496584447,0.27678295833792865
131,0.1621621621621625,0.3783783783783792,0.6081081081081093,0.06756756756756771,0.24324324324324373,0.324324324324325,0.324324324324325,0.48648648648648746,0.6891891891891906,0.093333333333332,0.13333333333333147,0.13583004985709005,-0.6713273129913268,0.0852428503008006,-1.3593303710367355,-0.8443000722035953,-0.8443000722035953,0.6535226136210213,-0.187909960527274,-0.209564378483084,0.5150302988331402,0.5150302988331402,-0.3242528402505663,0.329269773370455,-2.0128529846577567,-1.0818219266504356,-0.5927781535971466,-0.5927781535971466,-0.021319287938783238,0.032795618292566386
132,0.15068493150684847,0.38356164383561436,0.6027397260273939,0.05479452054794491,0.23287671232876586,0.38356164383561436,0.38356164383561436,0.47945205479451797,0.6986301369862975,0.09589041095890358,0.15068493150684847,0.13333816788012143,-0.717875826798046,0.0915279570337077,-1.3200047124708314,-0.1306547047860249,-0.1306547047860249,0.6818033767428402,-0.21741747796293082,-0.5246726038569355,1.1893500076848065,1.1893500076848065,-1.7404986796416217,-1.0586953028987816,-2.0018080892136716,-0.7484131556612653,0.36676077702027116,0.36676077702027116,-0.022332812685260772,0.6257204325582756
133,0.14666666666666806,0.3866666666666703,0.6000000000000056,0.053333333333333836,0.22666666666666882,0.33333333333333653,0.33333333333333653,0.48000000000000453,0.7066666666666733,0.09459459459459478,0.1621621621621625,0.13637528105174304,-0.6592707419008108,0.05328801577240356,-1.2306802249334095,-0.5619581526355889,-0.5619581526355889,0.6080624736767466,-0.16005142734314365,0.8401003899778404,0.6687220722978205,0.6687220722978205,-0.7148263933389782,-0.10676391966223164,-1.838742698610156,-0.1549758373698728,0.051617645757056824,0.051617645757056824,-0.022780649705657855,0.7064226459677462
134,0.15999999999999773,0.3866666666666612,0.6133333333333246,0.06666666666666572,0.22666666666666346,0.34666666666666174,0.34666666666666174,0.4933333333333263,0.7199999999999898,0.09333333333333423,0.16000000000000153,0.13357763836015582,-0.6529469048103907,0.06375032044815312,-1.1973421941500728,-0.4915630483085159,-0.4915630483085159,0.5925467897534744,-0.17541178239175675,0.793632090083186,0.7057791458415569,0.7057791458415569,-0.8067628872865155,-0.21421609753304108,-1.7898889839035472,-0.2030736501536713,0.021334527490626552,0.021334527490626552,-0.02381955580707948,0.08308574933555729
135,0.16438356164383872,0.39726027397261027,0.6164383561643951,0.08219178082191936,0.24657534246575807,0.31506849315069085,0.31506849315069085,0.5068493150685027,0.7123287671233011,0.08000000000000076,0.14666666666666808,0.13841931609410177,-0.6557294129849379,0.09846555970243148,-1.3058784569496271,-0.9953881697926464,-0.9953881697926464,0.6660074704952121,-0.20176926470035908,-0.19568664581449213,0.31049028715698074,0.31049028715698074,0.018890412140453585,0.6848978826356658,-1.9718859274448393,-1.1526555341952138,-0.7483240633057949,-0.7483240633057949,-0.021305584543170657,-0.18170580234823186
136,0.14864864864864896,0.3783783783783792,0.5945945945945958,0.05405405405405417,0.21621621621621667,0.33783783783783855,0.33783783783783855,0.472972972972974,0.7432432432432449,0.09589041095890358,0.16438356164383472,0.1367943764671065,-0.6846000121345971,0.04794143962075938,-1.200597957603258,-0.428424178436788,-0.428424178436788,0.605778345877561,-0.1339021336330071,0.7360467498963461,0.77217377916647,0.77217377916647,-0.949527946607243,-0.34374960072968197,-1.806376303480819,-0.26205198648653,-0.09841028233786434,-0.09841028233786434,-0.023113251571359423,0.32608870551013297
137,0.14666666666666459,0.3866666666666612,0.6133333333333246,0.06666666666666572,0.22666666666666346,0.34666666666666174,0.34666666666666174,0.47999999999999315,0.7599999999999892,0.07999999999999885,0.15999999999999773,0.13900879358391444,-0.5959276602736463,0.05141341058635321,-1.1622927425115843,-0.37951468012465006,-0.37951468012465006,0.4989358188052597,-0.18695568148713512,0.7704785501606249,0.7827780623869343,0.7827780623869343,-0.9021992010675439,-0.4032633822622842,-1.661228561316844,-0.22833926698495255,0.00548552357990717,0.00548552357990717,-0.02257185809934066,0.18408756554074324
138,0.14473684210526216,0.3815789473684185,0.6052631578947327,0.06578947368421008,0.2236842105263143,0.3157894736842084,0.3157894736842084,0.47368421052631254,0.736842105263153,0.07894736842105393,0.1578947368421079,0.13876340101143578,-0.6432195210538008,0.027273423037662278,-1.1680835152073312,-0.6609094846815714,-0.6609094846815714,0.5973720800693283,-0.1606056316109527,0.9004053122751778,0.5071740305257598,0.5071740305257598,-0.44363662591351666,0.1537354541558116,-1.7654555952766595,-0.09937183985011602,0.09795575444370953,0.09795575444370953,-0.02150951714629261,0.1577982402833522
