Statistics,IPR,Tsys/Tdia,Tpw25/Tpi,Tpw50/Tpi,Tpw75/Tpi,Tpw25/Tsp,Tpw50/Tsp,Tpw75/Tsp,Tdw10/Tsw10,Tdw25/Tsw25,Tdw33/Tsw33,Tdw50/Tsw50,Tdw66/Tsw66,Tdw75/Tsw75,Tdw90/Tsw90,Tsp/Tpi,Asp/Aoff,Adp/Asp,IPA,Tsp/Asp,Asp/deltaT,Asp/(Tpi-Tsp)
mean,99.27194073097188,1.8337419199346898,0.4387199716897943,0.2731153466740566,0.17696156805248148,1.6473463797834555,1.026241410509149,0.66496399926034,3.1434665651377527,1.7618311036789194,1.390434233640751,1.304185880544561,1.231840924775712,1.2008669772256542,1.137681159420279,0.2664450003178869,-2.9472908366649633,0.0198903155355176,0.5293321813133575,0.10388136998928152,6.1300881389470705,3.5195920490810546
median,99.99999999999976,1.8333333333333153,0.40259740259739885,0.2727272727272724,0.1756756756756757,1.5000000000000278,1.0499999999999245,0.6500000000000089,3.1333333333333218,1.5000000000000093,1.3636363636365105,1.3333333333332347,1.2857142857142494,1.166666666666568,1.0,0.2666666666666663,-2.89746541525603,0.027186819341416188,0.7177378525158574,0.10208876999093376,6.061974283498285,3.541558615028946
std,2.174841872056693,0.13298009317420056,0.08550162720594975,0.010625931552114698,0.008270785998969648,0.3201388810515247,0.05357989370919601,0.03922471115158208,0.2119275083473426,0.52659833871864,0.11627088303861736,0.11495435435691344,0.11388192829448149,0.13039791841509438,0.24261271056188724,0.008949527441068887,0.31987292656649136,0.06773966013878899,1.2638942348888023,0.009703449649181975,0.6144405495439301,0.26353889969592453
percentile_25,98.68421052631513,1.7599999999999871,0.3846153846153982,0.2666666666666631,0.1710526315789459,1.4500000000000266,1.0,0.64999999999998,3.066666666666509,1.4166666666666574,1.3636363636362498,1.222222222222177,1.1428571428570704,1.166666666666568,1.0,0.2597402597402659,-3.113309923349494,-0.0013517311761937613,0.5401127593669933,0.09721308249656219,5.719788249309857,3.3577901330155875
percentile_75,101.35135135135135,1.9228778467909597,0.4466666666666733,0.2800000000000047,0.18421052631578394,1.6881578947368288,1.0500000000000622,0.6999999999999955,3.28571428571403,1.8541666666666574,1.45454545454544,1.3333333333333497,1.2857142857143944,1.333333333333284,1.250000000000111,0.27088452088453185,-2.7641818673483125,0.05485362614513225,0.8516944194823122,0.10892778408025568,6.526821598500948,3.703097881358998
iqr,2.6671408250362276,0.1628778467909726,0.062051282051275136,0.01333333333334158,0.013157894736838038,0.23815789473680216,0.05000000000006222,0.050000000000015477,0.219047619047521,0.4375,0.09090909090919008,0.11111111111117267,0.14285714285732398,0.16666666666671603,0.250000000000111,0.011144261144265977,0.34912805600118135,0.05620535732132601,0.31158166011531885,0.01171470158369349,0.8070333491910917,0.3453077483434104
skew,-0.7430214666600108,-0.5330636645769041,1.284027933604989,-0.09267121862653202,-0.17032443728851077,1.3126776978667503,-0.1094289081768171,-0.041656953517648324,-2.8353460557961268,1.2920572657217761,1.1230170350422817,1.2059280008940179,-0.25235390465506796,0.546121001434344,1.1798480233270998,0.08935626626932532,-0.35285544811433933,-5.780341067456703,-2.8922028802671824,1.4435315828895965,0.5217418314831612,-0.772422269342671
kurtosis,0.1224908414871635,0.6289705577654514,0.1718598615697342,0.6752563176509745,0.28206611327745357,0.49221601105611246,-0.12658986485457646,-0.2758002135274378,28.07544437281581,0.2858856805827803,7.571452019649378,6.7261370293890685,1.5504514672539518,2.9172094977757617,0.4873891346858912,-0.01869717652517533,2.3970241232110725,56.1824252013728,20.446209565158107,4.978130474537535,1.601552089750566,3.3457901081392967
mad,1.7535852411548258,0.10412535991963993,0.06934612681005389,0.00824994078993504,0.006611487523368499,0.25629544105006447,0.04427113190980153,0.03203276295941402,0.13590562615551202,0.4282228503223343,0.08298679732102573,0.0852133695174869,0.0928334195997301,0.09584908632641588,0.19766068052929736,0.007100862648944234,0.23759504751926014,0.0389967037812752,0.5930800617689291,0.007303737050329394,0.4820153554529709,0.2028450999087461
