Statistics,Tu/Tpi,Tv/Tpi,Tw/Tpi,Ta/Tpi,Tb/Tpi,Tc/Tpi,Td/Tpi,Te/Tpi,Tf/Tpi,(Tu-Ta)/Tpi,(Tv-Tb)/Tpi,Au/Asp,Av/Au,Aw/Au,Ab/Aa,Ac/Aa,Ad/Aa,Ae/Aa,Af/Aa,Ap2/Ap1,(Ac-Ab)/Aa,(Ad-Ab)/Aa,AGI,AGImod,AGIinf,AI,RIp1,RIp2,SC,IPAD
mean,0.15147638605884617,0.3777154696968946,0.6056573261972926,0.0644213507611929,0.22456998607028134,0.32339432274985436,0.32339432274985436,0.4787026428657417,0.7138578313966939,0.08706626595540515,0.1532040881946691,0.1351143072107271,-0.6477620301174636,0.05564747689659142,-1.259592799511599,-0.6412144721395998,-0.6412144721395998,0.5633491377801664,-0.1496583279993871,0.22257816667718838,0.6183783273719989,0.6183783273719989,-0.5405129930125655,0.022836144767600847,-1.8229419372917652,-0.721918430994182,-0.04659631127761983,-0.04659631127761983,-0.025546039784989216,-0.11188229082624243
median,0.14864864864864896,0.3783783783783786,0.6052631578947385,0.06578947368421047,0.22666666666666346,0.32681134654818766,0.32681134654818766,0.47999999999999315,0.7199999999999983,0.09032634032634057,0.15233825597749667,0.13512516102952282,-0.6462477724999467,0.05363791771863066,-1.2457817188821751,-0.674998724716957,-0.674998724716957,0.5526625265678023,-0.14830329237318624,-0.1562186263553079,0.5485731839317751,0.5485731839317751,-0.4513294785478421,0.14601336354158187,-1.8019937732171625,-0.8055280827043053,0.006976291987329322,0.006976291987329322,-0.025517031757473614,0.03010855805372825
std,0.009784819483899952,0.010259597194661883,0.014285081979688535,0.01035543354253956,0.012385846108416768,0.0280737244342915,0.0280737244342915,0.011906691436455952,0.037261682608258906,0.0070744614486928275,0.011696677522231889,0.005968919080640563,0.04138480953562161,0.031446951673647555,0.08258046217403849,0.3075866051264584,0.3075866051264584,0.06160800804327463,0.04096845299507775,0.4928971262420519,0.2715929858630761,0.2715929858630761,0.5737801732769785,0.5743909874933659,0.12845941687194018,0.4465010913877239,0.4569811092725718,0.4569811092725718,0.003718476541014039,1.3021584026007247
percentile_25,0.14473684210526302,0.3717948717948704,0.5974025974025977,0.05405405405405417,0.2159596305165921,0.2972972972972979,0.2972972972972979,0.472972972972974,0.688969813969815,0.07999999999999981,0.14473684210526386,0.13241882342149475,-0.6675283710116967,0.03661963731774763,-1.316538483667261,-0.9317843448919275,-0.9317843448919275,0.5167380482317405,-0.1735106840607179,-0.23367688843449194,0.37634014465762733,0.37634014465762733,-1.065091341809036,-0.49581688117488837,-1.9168960356052949,-1.165792283050469,-0.20800381965762643,-0.20800381965762643,-0.02692188936520628,-0.2479894711876362
percentile_75,0.15999999999999773,0.3866666666666612,0.6133333333333392,0.06756756756756764,0.22972972972973024,0.3462820512820491,0.3462820512820491,0.48648648648648746,0.7432432432432449,0.09333333333333366,0.16000000000000153,0.13839680701912938,-0.6233460792842621,0.0728276463766347,-1.2021810408798408,-0.35027159905962046,-0.35027159905962046,0.601083043875862,-0.1236023595776872,0.7219854306695881,0.8636731893058932,0.8636731893058932,-0.023216130856443168,0.546029397545693,-1.7264535503637248,-0.27579969200832355,0.10686487485960014,0.10686487485960014,-0.02360504274122932,0.365188352622041
iqr,0.015263157894734702,0.0148717948717908,0.015930735930741458,0.013513513513513473,0.013770099213138154,0.04898475398475116,0.04898475398475116,0.013513513513513431,0.05427342927342982,0.01333333333333385,0.015263157894737672,0.0059779835976346285,0.0441822917274346,0.036208009058887075,0.1143574427874201,0.581512745832307,0.581512745832307,0.08434499564412146,0.0499083244830307,0.9556623191040801,0.4873330446482659,0.4873330446482659,1.0418752109525928,1.0418462787205813,0.19044248524157004,0.8899925910421455,0.31486869451722654,0.31486869451722654,0.0033168466239769587,0.6131778238096772
skew,0.509777539202516,0.17064897352415637,-0.2046313941821446,0.7358443078804657,0.33766326341888897,0.010158950456666323,0.010158950456666323,0.3716699879124616,-0.5741852190598699,-0.2616187515807329,0.018035859519445814,-2.6104960152416963,-0.8780902324524194,0.28981793784461835,-0.33030980067514515,0.17250998041366844,0.17250998041366844,0.6423851886595677,-0.46377764552428785,0.10347013882865569,0.3284742383328498,0.3284742383328498,-0.22299516306592876,-0.26277674688406694,-0.3256946921114471,0.09019060436368272,5.702143319837454,5.702143319837454,-5.544867331899825,-2.9393026923292926
kurtosis,0.3287550931446379,0.3395110662481433,0.07759132500066945,1.2915486518977932,0.2770857609991304,-0.8027949406914803,-0.8027949406914803,0.06387923046678434,-0.5023914838881978,-1.6416090648652808,-0.44426472550009777,21.574457528136094,3.3067002752525667,2.589738602820682,-0.16472469182381033,-1.5304907400002423,-1.5304907400002423,0.6054487208962986,1.6096185675904033,-1.8727620004792729,-1.1776694250300195,-1.1776694250300195,-1.3305730841156775,-1.4092587792442732,-0.21882821714284395,-1.8693848182940815,61.325717808164384,61.325717808164384,53.61112125952191,19.37884390179641
mad,0.008132822030814798,0.007946088194944958,0.011229772925752595,0.007637505786012174,0.009811433993551336,0.024193106593636767,0.024193106593636767,0.009396997990263738,0.030952121211807165,0.006709470631212152,0.009678935779066325,0.003906169996896042,0.030587603735436845,0.023356024351978918,0.06659772004721164,0.28528005206698914,0.28528005206698914,0.049243063570526074,0.031437898244554396,0.48585143166347283,0.24370087366040938,0.24370087366040938,0.52265377514631,0.5279668633892883,0.1039845275044328,0.43650666778966213,0.23575031846649283,0.23575031846649283,0.0021896617065043657,0.6621382255727177
